Transaction_ID,Date,Category,Region,Sales_Amount,Quantity,Discount,Profit_Margin,Payment_Method,Customer_Rating,Net_Profit
TRX-000017,2022-05-10 16:00:00,Home & Kitchen,Latin America,3118.9,2,0.19,0.18,Credit Card,4.8,561.4
TRX-000018,2022-01-14 08:00:00,Fashion,Latin America,4639.24,1,0.1,0.15,PayPal,4.5,695.89
TRX-000019,2022-11-05 20:00:00,Fashion,Middle East,3910.79,8,0.13,0.2,Bank Transfer,2.2,782.16
TRX-000020,2022-12-14 09:00:00,Electronics,Latin America,2581.75,8,0.19,0.14,PayPal,3.9,361.45
TRX-000021,2022-10-28 22:00:00,Fashion,North America,2269.91,8,0.15,0.12,Crypto,3.3,272.39
TRX-000022,2022-03-20 19:00:00,Sports,Asia-Pacific,1969.63,4,0.18,0.38,Bank Transfer,2.1,748.46
TRX-000023,2023-01-19 05:00:00,Beauty,Asia-Pacific,1648.75,4,0.07,0.16,Credit Card,2.9,263.8
TRX-000024,2022-12-22 22:00:00,Home & Kitchen,Latin America,4365.05,4,0.25,0.29,PayPal,3.1,1265.86
TRX-000025,2022-12-04 07:00:00,Sports,Latin America,258.55,4,0.01,0.37,PayPal,2.1,95.66
TRX-000026,2022-05-28 20:00:00,Sports,North America,4020.42,8,0.24,0.19,Credit Card,2.8,763.88
TRX-000027,2022-09-30 16:00:00,Fashion,Latin America,1748.57,2,0.16,0.26,PayPal,3.9,454.63
TRX-000028,2022-03-28 00:00:00,Sports,Europe,2518.14,5,0.27,0.2,PayPal,3.3,503.63
TRX-000029,2022-05-23 20:00:00,Home & Kitchen,Latin America,4280.34,5,0.02,0.36,Credit Card,2.0,1540.92
TRX-000030,2022-04-29 21:00:00,Books,Latin America,445.03,6,0.28,0.34,Crypto,4.6,151.31
TRX-000031,2022-02-24 08:00:00,Fashion,Europe,1668.98,7,0.0,0.25,PayPal,4.9,417.24
TRX-000032,2022-05-06 15:00:00,Home & Kitchen,Middle East,81.68,1,0.03,0.29,Bank Transfer,3.7,23.69
TRX-000033,2022-07-29 16:00:00,Fashion,Middle East,1179.1,2,0.24,0.28,PayPal,4.1,330.15
TRX-000034,2023-02-09 09:00:00,Books,Latin America,2626.41,8,0.1,0.25,Bank Transfer,3.6,656.6
TRX-000035,2022-08-09 16:00:00,Beauty,North America,4676.47,8,0.26,0.27,Credit Card,4.1,1262.65
TRX-000036,2022-10-13 03:00:00,Books,North America,3665.95,3,0.11,0.27,PayPal,2.5,989.81
TRX-000037,2022-08-19 23:00:00,Fashion,Middle East,197.07,7,0.16,0.14,PayPal,3.2,27.59
TRX-000038,2022-09-29 16:00:00,Books,Europe,3757.76,2,0.17,0.14,Bank Transfer,4.8,526.09
TRX-000039,2023-02-10 15:00:00,Electronics,Asia-Pacific,4175.62,4,0.21,0.25,PayPal,2.9,1043.9
TRX-000040,2022-09-23 16:00:00,Sports,Middle East,2589.04,5,0.06,0.05,Bank Transfer,3.9,129.45
TRX-000041,2022-07-12 15:00:00,Sports,Middle East,3337.86,5,0.08,0.4,Bank Transfer,3.0,1335.14
TRX-000042,2022-08-28 16:00:00,Beauty,Europe,4188.45,8,0.15,0.31,Crypto,1.4,1298.42
TRX-000043,2022-06-02 03:00:00,Books,Europe,1764.61,7,0.11,0.24,PayPal,2.9,423.51
TRX-000044,2022-06-14 17:00:00,Sports,Asia-Pacific,4285.29,1,0.07,0.29,PayPal,2.7,1242.73
TRX-000045,2022-04-19 17:00:00,Fashion,Latin America,1899.55,3,0.15,0.29,Bank Transfer,3.6,550.87
TRX-000046,2022-01-07 15:00:00,Sports,North America,4130.77,8,0.14,0.24,Bank Transfer,3.0,991.38
TRX-000047,2022-04-03 22:00:00,Electronics,Europe,4544.63,3,0.02,0.15,PayPal,1.4,681.69
TRX-000048,2022-08-10 23:00:00,Home & Kitchen,North America,4847.32,7,0.11,0.18,Bank Transfer,1.1,872.52
TRX-000049,2022-08-19 12:00:00,Sports,Latin America,236.24,7,0.25,0.35,Credit Card,4.5,82.68
TRX-000050,2022-03-27 01:00:00,Electronics,North America,2968.26,7,0.21,0.09,Crypto,1.6,267.14
TRX-000051,2022-03-06 13:00:00,Beauty,Europe,2295.79,7,0.08,0.12,PayPal,4.3,275.49
TRX-000052,2022-03-29 23:00:00,Sports,Asia-Pacific,3070.71,9,0.26,0.07,Crypto,2.6,214.95
TRX-000053,2022-12-10 23:00:00,Fashion,Latin America,2150.53,7,0.28,0.14,PayPal,1.1,301.07
TRX-000054,2022-06-23 08:00:00,Home & Kitchen,Asia-Pacific,1838.6,8,0.26,0.19,PayPal,3.3,349.33
TRX-000055,2022-04-07 15:00:00,Electronics,Asia-Pacific,1416.58,2,0.14,0.28,Crypto,2.4,396.64
TRX-000056,2023-01-03 00:00:00,Books,Asia-Pacific,4308.28,6,0.12,0.18,Crypto,2.8,775.49
TRX-000057,2022-09-29 01:00:00,Books,Europe,1636.7,7,0.09,0.25,PayPal,1.3,409.18
TRX-000058,2023-01-11 01:00:00,Electronics,Latin America,3148.36,2,0.14,0.14,Credit Card,3.9,440.77
TRX-000059,2022-12-03 06:00:00,Books,Europe,4308.63,7,0.1,0.13,Credit Card,4.4,560.12
TRX-000060,2022-05-08 14:00:00,Books,North America,3985.38,1,0.17,0.19,Crypto,3.5,757.22
TRX-000061,2022-06-21 17:00:00,Electronics,Europe,623.41,1,0.24,0.15,Crypto,1.2,93.51
TRX-000062,2022-07-25 21:00:00,Home & Kitchen,Middle East,1657.93,8,0.23,0.15,Credit Card,1.1,248.69
TRX-000063,2022-05-17 08:00:00,Sports,North America,3365.61,2,0.17,0.31,Bank Transfer,3.0,1043.34
TRX-000064,2022-10-15 22:00:00,Sports,Asia-Pacific,3238.0,4,0.21,0.26,Bank Transfer,1.9,841.88
TRX-000065,2022-10-14 15:00:00,Electronics,Latin America,3460.78,3,0.06,0.32,Crypto,1.1,1107.45
TRX-000066,2022-11-01 20:00:00,Books,Middle East,1656.45,5,0.21,0.35,Crypto,4.9,579.76
TRX-000067,2022-07-27 06:00:00,Sports,Middle East,2746.06,6,0.17,0.05,Credit Card,1.9,137.3
TRX-000068,2023-01-04 09:00:00,Fashion,North America,2340.12,2,0.17,0.18,PayPal,1.5,421.22
TRX-000069,2022-01-30 00:00:00,Electronics,Asia-Pacific,38.98,1,0.15,0.19,Crypto,2.6,7.41
TRX-000070,2022-05-13 05:00:00,Books,Asia-Pacific,4532.36,4,0.26,0.16,Bank Transfer,3.8,725.18
TRX-000071,2022-10-10 15:00:00,Home & Kitchen,Europe,4101.03,7,0.17,0.13,Credit Card,4.1,533.13
TRX-000072,2022-10-07 01:00:00,Sports,Latin America,1160.99,1,0.07,0.27,PayPal,1.9,313.47
TRX-000073,2022-01-08 08:00:00,Beauty,Latin America,928.89,2,0.11,0.28,Credit Card,1.3,260.09
TRX-000074,2022-01-14 01:00:00,Home & Kitchen,North America,2120.57,6,0.01,0.15,Crypto,2.8,318.09
TRX-000075,2022-12-01 20:00:00,Fashion,Middle East,4797.99,7,0.29,0.12,Crypto,3.9,575.76
TRX-000076,2022-05-11 04:00:00,Electronics,Europe,2577.7,3,0.28,0.39,Crypto,4.0,1005.3
TRX-000077,2023-02-03 19:00:00,Sports,Middle East,2485.41,2,0.02,0.2,Crypto,2.3,497.08
TRX-000078,2022-08-30 00:00:00,Beauty,Latin America,1205.05,5,0.16,0.33,Bank Transfer,3.4,397.67
TRX-000079,2022-10-17 18:00:00,Electronics,Asia-Pacific,945.08,7,0.12,0.28,Crypto,4.0,264.62
TRX-000080,2022-08-05 18:00:00,Fashion,Middle East,1648.51,5,0.04,0.36,PayPal,3.8,593.46
TRX-000081,2023-01-04 11:00:00,Home & Kitchen,Latin America,1470.29,4,0.14,0.16,Crypto,3.8,235.25
TRX-000082,2022-05-04 16:00:00,Home & Kitchen,Latin America,1383.06,9,0.2,0.33,Credit Card,4.7,456.41
TRX-000083,2022-07-29 00:00:00,Electronics,North America,1905.8,1,0.29,0.15,PayPal,4.2,285.87
TRX-000084,2022-01-13 12:00:00,Electronics,Europe,1967.66,1,0.14,0.22,Crypto,1.5,432.89
TRX-000085,2022-07-04 14:00:00,Fashion,Latin America,4021.7,3,0.22,0.31,PayPal,3.8,1246.73
TRX-000086,2022-08-03 04:00:00,Fashion,Europe,2348.32,9,0.04,0.08,Bank Transfer,4.0,187.87
TRX-000087,2022-07-02 18:00:00,Home & Kitchen,Europe,310.47,3,0.25,0.09,Credit Card,3.6,27.94
TRX-000088,2022-01-06 13:00:00,Home & Kitchen,Middle East,3158.75,5,0.11,0.3,PayPal,2.0,947.62
TRX-000089,2022-12-20 01:00:00,Sports,Asia-Pacific,1055.73,6,0.14,0.28,Bank Transfer,3.2,295.6
TRX-000090,2023-01-11 10:00:00,Beauty,Middle East,2825.43,1,0.04,0.29,Crypto,3.3,819.37
TRX-000091,2022-08-31 09:00:00,Home & Kitchen,Asia-Pacific,1675.65,9,0.0,0.15,Credit Card,2.1,251.35
TRX-000092,2023-02-10 21:00:00,Beauty,Middle East,3199.97,2,0.08,0.14,PayPal,5.0,448.0
TRX-000093,2022-07-26 13:00:00,Fashion,North America,4852.03,5,0.3,0.19,Bank Transfer,4.6,921.89
TRX-000094,2022-08-07 19:00:00,Fashion,Europe,2362.21,6,0.02,0.19,Crypto,1.6,448.82
TRX-000095,2022-10-29 00:00:00,Sports,Europe,1620.78,3,0.2,0.08,PayPal,1.1,129.66
TRX-000096,2022-01-14 16:00:00,Books,Asia-Pacific,3410.73,6,0.23,0.19,Credit Card,3.2,648.04
TRX-000097,2022-05-11 17:00:00,Electronics,Asia-Pacific,4844.22,1,0.03,0.36,PayPal,1.7,1743.92
TRX-000098,2022-04-04 08:00:00,Beauty,Latin America,4379.38,1,0.06,0.12,Crypto,2.2,525.53
TRX-000099,2022-12-19 19:00:00,Fashion,Europe,346.78,4,0.11,0.32,Crypto,3.7,110.97
TRX-000100,2022-11-08 13:00:00,Home & Kitchen,Europe,4271.51,5,0.14,0.08,Crypto,3.9,341.72
TRX-000101,2022-06-18 17:00:00,Electronics,North America,1220.89,9,0.01,0.09,PayPal,4.7,109.88
TRX-000102,2023-01-30 10:00:00,Home & Kitchen,North America,1604.37,1,0.3,0.31,PayPal,2.5,497.35
TRX-000103,2022-08-29 18:00:00,Sports,Asia-Pacific,4271.74,1,0.3,0.2,PayPal,1.3,854.35
TRX-000104,2023-02-07 00:00:00,Fashion,Latin America,902.66,6,0.12,0.16,Crypto,3.4,144.43
TRX-000105,2022-12-27 03:00:00,Electronics,North America,913.18,5,0.25,0.27,Bank Transfer,1.4,246.56
TRX-000106,2022-02-26 13:00:00,Books,Latin America,2435.13,5,0.22,0.3,Bank Transfer,4.9,730.54
TRX-000107,2023-01-21 18:00:00,Fashion,North America,1207.45,8,0.18,0.16,Bank Transfer,2.5,193.19
TRX-000108,2022-02-18 03:00:00,Home & Kitchen,Europe,655.03,3,0.29,0.19,Crypto,2.7,124.46
TRX-000109,2022-05-14 01:00:00,Sports,Asia-Pacific,224.55,7,0.26,0.06,PayPal,3.3,13.47
TRX-000110,2022-05-26 22:00:00,Sports,North America,4450.23,4,0.29,0.1,Bank Transfer,1.3,445.02
TRX-000111,2022-05-13 10:00:00,Home & Kitchen,Middle East,3360.1,5,0.28,0.07,Bank Transfer,1.4,235.21
TRX-000112,2022-05-19 01:00:00,Sports,Europe,2292.78,5,0.25,0.4,Bank Transfer,3.4,917.11
TRX-000113,2022-11-22 03:00:00,Electronics,Asia-Pacific,2322.74,1,0.29,0.34,Crypto,1.3,789.73
TRX-000114,2022-08-02 04:00:00,Beauty,North America,1622.93,6,0.21,0.31,Credit Card,4.6,503.11
TRX-000115,2022-06-16 02:00:00,Fashion,Middle East,189.88,4,0.18,0.2,Credit Card,1.2,37.98
TRX-000116,2022-12-14 04:00:00,Books,North America,3274.25,1,0.23,0.23,Bank Transfer,3.2,753.08
TRX-000117,2022-09-01 22:00:00,Sports,Europe,4719.18,5,0.27,0.28,PayPal,4.8,1321.37
TRX-000118,2022-06-09 10:00:00,Electronics,Asia-Pacific,107.29,3,0.06,0.3,Crypto,4.3,32.19
TRX-000119,2022-05-13 10:00:00,Books,Middle East,4428.92,5,0.28,0.4,Bank Transfer,4.7,1771.57
TRX-000120,2022-10-15 19:00:00,Home & Kitchen,Asia-Pacific,2062.38,6,0.24,0.11,Bank Transfer,3.3,226.86
TRX-000121,2023-02-09 19:00:00,Electronics,North America,473.14,2,0.02,0.16,Bank Transfer,4.1,75.7
TRX-000122,2022-08-19 18:00:00,Home & Kitchen,Latin America,2913.19,9,0.25,0.39,Bank Transfer,2.7,1136.14
TRX-000123,2023-02-20 11:00:00,Beauty,Europe,2944.44,9,0.09,0.18,Crypto,1.3,530.0
TRX-000124,2022-07-04 21:00:00,Fashion,Asia-Pacific,4248.22,8,0.22,0.26,Bank Transfer,4.6,1104.54
TRX-000125,2022-10-15 11:00:00,Fashion,Middle East,3463.77,9,0.04,0.35,Crypto,4.1,1212.32
TRX-000126,2022-04-03 15:00:00,Home & Kitchen,Europe,3006.31,2,0.17,0.35,PayPal,2.3,1052.21
TRX-000127,2022-07-28 06:00:00,Electronics,Latin America,4359.3,1,0.05,0.13,Credit Card,4.6,566.71
TRX-000128,2022-06-23 22:00:00,Home & Kitchen,Asia-Pacific,157.55,4,0.15,0.08,Credit Card,1.8,12.6
TRX-000129,2022-03-19 01:00:00,Books,Middle East,2920.69,1,0.3,0.25,Bank Transfer,3.2,730.17
TRX-000130,2023-01-30 17:00:00,Sports,North America,3205.39,6,0.17,0.38,PayPal,4.5,1218.05
TRX-000131,2022-11-05 13:00:00,Beauty,North America,719.59,4,0.07,0.31,Bank Transfer,4.3,223.07
TRX-000132,2022-08-01 02:00:00,Electronics,North America,876.67,2,0.13,0.14,Crypto,4.9,122.73
TRX-000133,2022-06-02 13:00:00,Books,North America,3295.31,7,0.11,0.33,Credit Card,4.0,1087.45
TRX-000134,2022-11-30 09:00:00,Electronics,Asia-Pacific,363.44,5,0.18,0.4,Bank Transfer,4.1,145.38
TRX-000135,2022-05-24 10:00:00,Home & Kitchen,Middle East,4791.94,3,0.18,0.38,Crypto,1.9,1820.94
TRX-000136,2022-06-25 22:00:00,Fashion,Europe,3271.47,4,0.09,0.21,Crypto,3.9,687.01
TRX-000137,2022-07-28 11:00:00,Books,North America,1304.89,8,0.03,0.19,Crypto,3.6,247.93
TRX-000138,2022-02-21 10:00:00,Fashion,Latin America,3846.78,6,0.13,0.19,Bank Transfer,3.0,730.89
TRX-000139,2022-02-27 09:00:00,Electronics,Latin America,2019.66,8,0.13,0.25,Bank Transfer,2.9,504.92
TRX-000140,2022-02-07 02:00:00,Home & Kitchen,Europe,177.1,2,0.12,0.16,Credit Card,3.8,28.34
TRX-000141,2022-05-04 13:00:00,Home & Kitchen,Asia-Pacific,300.85,5,0.16,0.06,Crypto,2.2,18.05
TRX-000142,2022-04-19 17:00:00,Books,Latin America,4275.77,9,0.15,0.06,PayPal,1.7,256.55
TRX-000143,2022-03-18 22:00:00,Books,Middle East,1864.52,8,0.02,0.39,Credit Card,1.9,727.16
TRX-000144,2022-03-02 01:00:00,Fashion,Middle East,1518.85,4,0.18,0.37,PayPal,3.5,561.97
TRX-000145,2022-01-06 13:00:00,Beauty,Middle East,2709.16,4,0.17,0.16,Crypto,3.5,433.47
TRX-000146,2022-11-10 18:00:00,Books,Asia-Pacific,424.15,9,0.14,0.13,Crypto,2.5,55.14
TRX-000147,2022-07-19 10:00:00,Books,Europe,1032.74,9,0.26,0.36,Crypto,2.6,371.79
TRX-000148,2022-08-16 04:00:00,Sports,Middle East,680.86,9,0.02,0.15,Credit Card,3.3,102.13
TRX-000149,2022-04-06 22:00:00,Home & Kitchen,Latin America,2050.65,1,0.25,0.17,Crypto,3.8,348.61
TRX-000150,2022-10-12 00:00:00,Electronics,Asia-Pacific,3693.12,2,0.22,0.13,Crypto,4.6,480.11
TRX-000151,2023-01-27 01:00:00,Fashion,Asia-Pacific,4832.38,5,0.09,0.25,Credit Card,4.3,1208.1
TRX-000152,2022-12-22 23:00:00,Books,Middle East,2561.09,8,0.12,0.24,PayPal,1.6,614.66
TRX-000153,2022-06-19 06:00:00,Fashion,Latin America,4468.99,1,0.28,0.18,Bank Transfer,4.9,804.42
TRX-000154,2022-08-16 20:00:00,Books,Latin America,3799.31,1,0.24,0.11,Credit Card,3.3,417.92
TRX-000155,2022-11-23 21:00:00,Fashion,North America,3158.08,1,0.18,0.28,Crypto,2.4,884.26
TRX-000156,2022-05-06 15:00:00,Beauty,North America,2306.13,7,0.25,0.3,PayPal,4.4,691.84
TRX-000157,2023-02-09 14:00:00,Electronics,North America,3257.92,2,0.22,0.21,Crypto,3.2,684.16
TRX-000158,2022-10-24 14:00:00,Home & Kitchen,North America,222.96,3,0.18,0.3,PayPal,1.8,66.89
TRX-000159,2022-09-18 11:00:00,Fashion,Asia-Pacific,369.41,5,0.15,0.08,PayPal,3.0,29.55
TRX-000160,2022-12-11 15:00:00,Electronics,Asia-Pacific,961.45,9,0.26,0.21,Credit Card,3.2,201.9
TRX-000161,2022-05-28 15:00:00,Sports,Asia-Pacific,1231.28,7,0.04,0.34,Crypto,4.2,418.64
TRX-000162,2022-09-24 12:00:00,Home & Kitchen,North America,3852.43,3,0.15,0.13,Crypto,3.2,500.82
TRX-000163,2022-12-15 11:00:00,Home & Kitchen,Europe,4669.65,1,0.14,0.27,PayPal,3.3,1260.81
TRX-000164,2022-10-12 22:00:00,Electronics,Latin America,4496.02,4,0.02,0.19,Bank Transfer,2.7,854.24
TRX-000165,2022-01-22 00:00:00,Fashion,Latin America,1939.83,9,0.09,0.17,Bank Transfer,3.8,329.77
TRX-000166,2022-09-20 03:00:00,Fashion,Middle East,2051.32,9,0.19,0.13,PayPal,2.2,266.67
TRX-000167,2022-07-28 04:00:00,Fashion,North America,1583.94,6,0.06,0.39,Bank Transfer,3.3,617.74
TRX-000168,2023-02-10 22:00:00,Home & Kitchen,North America,2900.85,7,0.01,0.39,Crypto,3.0,1131.33
TRX-000169,2022-09-25 09:00:00,Fashion,Europe,4691.14,2,0.18,0.38,Bank Transfer,4.1,1782.63
TRX-000170,2022-12-27 11:00:00,Sports,Latin America,4282.72,6,0.27,0.26,Credit Card,1.9,1113.51
TRX-000171,2022-06-10 04:00:00,Beauty,Latin America,4576.0,6,0.11,0.37,Bank Transfer,1.3,1693.12
TRX-000172,2022-09-16 22:00:00,Beauty,Europe,3880.06,5,0.12,0.22,PayPal,3.7,853.61
TRX-000173,2022-01-03 11:00:00,Beauty,Latin America,1273.85,4,0.15,0.15,Credit Card,4.1,191.08
TRX-000174,2022-12-18 13:00:00,Books,Latin America,2138.87,8,0.22,0.18,Bank Transfer,1.2,385.0
TRX-000175,2022-01-14 02:00:00,Beauty,Asia-Pacific,589.08,4,0.16,0.37,Crypto,4.0,217.96
TRX-000176,2022-12-16 15:00:00,Electronics,Asia-Pacific,2280.92,6,0.07,0.34,PayPal,1.4,775.51
TRX-000177,2022-04-07 13:00:00,Beauty,Middle East,1913.63,8,0.0,0.32,Crypto,5.0,612.36
TRX-000178,2022-02-27 11:00:00,Fashion,Latin America,4019.04,8,0.19,0.21,Bank Transfer,1.6,844.0
TRX-000179,2022-11-17 10:00:00,Books,North America,364.17,1,0.19,0.15,Crypto,4.6,54.63
TRX-000180,2022-09-06 06:00:00,Beauty,Europe,1175.93,2,0.19,0.21,Credit Card,2.5,246.95
TRX-000181,2022-09-05 18:00:00,Sports,Middle East,2769.1,2,0.15,0.06,Credit Card,2.8,166.15
TRX-000182,2022-09-17 03:00:00,Home & Kitchen,North America,4624.04,3,0.28,0.31,Credit Card,3.0,1433.45
TRX-000183,2022-09-14 01:00:00,Fashion,Middle East,2777.24,9,0.2,0.24,Bank Transfer,3.1,666.54
TRX-000184,2023-02-10 10:00:00,Fashion,Middle East,2171.07,2,0.15,0.17,Bank Transfer,1.7,369.08
TRX-000185,2022-08-03 18:00:00,Electronics,Middle East,2869.42,7,0.12,0.18,Crypto,3.9,516.5
TRX-000186,2022-06-09 02:00:00,Home & Kitchen,Asia-Pacific,4470.54,8,0.21,0.07,PayPal,3.0,312.94
TRX-000187,2022-05-28 15:00:00,Fashion,Asia-Pacific,1125.18,9,0.3,0.27,PayPal,1.3,303.8
TRX-000188,2023-01-18 05:00:00,Fashion,Latin America,2153.3,8,0.04,0.38,Credit Card,1.0,818.25
TRX-000189,2022-09-21 11:00:00,Home & Kitchen,Middle East,1401.61,5,0.09,0.14,Credit Card,2.4,196.23
TRX-000190,2023-02-20 09:00:00,Sports,Europe,943.78,6,0.05,0.21,PayPal,4.5,198.19
TRX-000191,2022-12-05 11:00:00,Beauty,Asia-Pacific,2644.22,5,0.26,0.17,Crypto,2.1,449.52
TRX-000192,2022-07-20 16:00:00,Home & Kitchen,Latin America,665.44,6,0.09,0.27,Crypto,1.8,179.67
TRX-000193,2022-07-07 04:00:00,Fashion,Latin America,1331.47,7,0.12,0.38,Credit Card,2.0,505.96
TRX-000194,2022-01-15 11:00:00,Beauty,Asia-Pacific,1883.41,7,0.05,0.13,PayPal,2.4,244.84
TRX-000195,2022-06-25 23:00:00,Sports,Middle East,868.02,7,0.07,0.12,Credit Card,3.1,104.16
TRX-000196,2022-01-12 19:00:00,Beauty,Europe,3346.38,9,0.07,0.2,PayPal,1.7,669.28
TRX-000197,2022-03-08 13:00:00,Books,North America,1580.29,2,0.06,0.05,Crypto,1.2,79.01
TRX-000198,2022-11-05 03:00:00,Fashion,Middle East,2705.74,3,0.28,0.15,PayPal,3.4,405.86
TRX-000199,2023-01-12 23:00:00,Home & Kitchen,Middle East,32.53,6,0.03,0.24,Credit Card,4.8,7.81
TRX-000200,2022-09-25 12:00:00,Beauty,Latin America,3827.2,4,0.24,0.34,Crypto,3.7,1301.25
TRX-000201,2022-10-29 17:00:00,Electronics,Asia-Pacific,3962.98,7,0.23,0.28,Crypto,2.0,1109.63
TRX-000202,2022-08-08 13:00:00,Sports,Latin America,1613.58,9,0.13,0.16,Crypto,1.3,258.17
TRX-000203,2022-07-06 02:00:00,Home & Kitchen,Latin America,2331.39,7,0.11,0.2,PayPal,2.6,466.28
TRX-000204,2022-09-01 07:00:00,Sports,Middle East,3837.07,6,0.17,0.22,Bank Transfer,1.1,844.16
TRX-000205,2022-05-27 00:00:00,Beauty,Middle East,892.21,9,0.18,0.09,Crypto,3.5,80.3
TRX-000206,2022-09-06 20:00:00,Electronics,Europe,4794.82,5,0.25,0.38,Crypto,3.8,1822.03
TRX-000207,2023-01-01 00:00:00,Home & Kitchen,North America,4356.9,2,0.16,0.26,Credit Card,1.7,1132.79
TRX-000208,2022-10-23 05:00:00,Beauty,Middle East,1750.6,6,0.08,0.08,Crypto,3.3,140.05
TRX-000209,2022-11-11 12:00:00,Books,North America,3212.2,4,0.03,0.4,Bank Transfer,3.9,1284.88
TRX-000210,2022-06-22 15:00:00,Home & Kitchen,Europe,827.06,6,0.13,0.2,Crypto,1.1,165.41
TRX-000211,2022-10-26 09:00:00,Electronics,North America,238.34,1,0.12,0.13,Credit Card,3.9,30.98
TRX-000212,2022-09-30 18:00:00,Beauty,North America,347.81,5,0.0,0.26,Crypto,1.1,90.43
TRX-000213,2022-05-22 06:00:00,Fashion,Middle East,4038.61,3,0.12,0.24,PayPal,4.2,969.27
TRX-000214,2022-07-04 10:00:00,Electronics,North America,475.4,3,0.15,0.06,PayPal,3.1,28.52
TRX-000215,2023-02-03 09:00:00,Electronics,Asia-Pacific,183.01,3,0.16,0.21,Crypto,1.3,38.43
TRX-000216,2022-04-14 15:00:00,Home & Kitchen,Asia-Pacific,4025.79,6,0.14,0.3,Bank Transfer,4.5,1207.74
TRX-000217,2022-05-10 08:00:00,Electronics,Europe,2958.47,1,0.26,0.35,PayPal,1.2,1035.46
TRX-000218,2022-07-18 01:00:00,Electronics,Latin America,1910.81,7,0.08,0.35,PayPal,4.7,668.78
TRX-000219,2022-06-04 00:00:00,Fashion,Asia-Pacific,3776.51,9,0.22,0.22,Crypto,4.7,830.83
TRX-000220,2022-11-16 21:00:00,Fashion,Asia-Pacific,1340.88,3,0.1,0.23,Crypto,1.3,308.4
TRX-000221,2022-06-11 12:00:00,Sports,Latin America,841.14,2,0.3,0.21,Crypto,1.1,176.64
TRX-000222,2023-01-27 06:00:00,Home & Kitchen,North America,1185.87,1,0.27,0.37,PayPal,4.2,438.77
TRX-000223,2022-11-23 17:00:00,Home & Kitchen,Middle East,4226.43,2,0.24,0.32,Crypto,3.4,1352.46
TRX-000224,2022-08-31 12:00:00,Fashion,Middle East,4571.32,8,0.18,0.26,Bank Transfer,1.7,1188.54
TRX-000225,2022-09-03 22:00:00,Fashion,Europe,2603.12,7,0.13,0.17,Bank Transfer,4.9,442.53
TRX-000226,2022-06-15 21:00:00,Beauty,North America,3043.1,1,0.15,0.35,Credit Card,1.5,1065.08
TRX-000227,2022-09-05 03:00:00,Beauty,Europe,1215.2,2,0.24,0.25,Crypto,1.2,303.8
TRX-000228,2022-12-11 07:00:00,Books,Middle East,3436.63,6,0.2,0.3,Credit Card,2.1,1030.99
TRX-000229,2022-07-15 05:00:00,Fashion,Europe,725.09,8,0.16,0.31,PayPal,1.5,224.78
TRX-000230,2023-02-16 22:00:00,Home & Kitchen,Europe,4893.78,7,0.03,0.21,Credit Card,4.6,1027.69
TRX-000231,2022-02-11 02:00:00,Home & Kitchen,Europe,949.95,2,0.07,0.19,PayPal,1.7,180.49
TRX-000232,2022-02-24 14:00:00,Fashion,Latin America,4634.24,6,0.02,0.14,Credit Card,1.0,648.79
